index,smiles,FDA_APPROVED,CT_TOX,mol,isosmiles
0,C(=O)[C@H](CCCCNC(=O)OCCOC)NC(=O)OCCOC,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09400>,COCCOC(=O)NCCCC[C@@H](C=O)NC(=O)OCCOC
1,[C@@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@@H]1Cl)Cl)Cl)Cl)Cl)Cl,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a091c0>,Cl[C@H]1[C@H](Cl)[C@@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
2,[C@H]([C@@H]([C@@H](C(=O)[O-])O)O)([C@H](C(=O)[O-])O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a093a0>,O=C([O-])[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)[O-]
3,[H]/[NH+]=C(/C1=CC(=O)/C(=C\C=c2ccc(=C([NH3+])N)cc2)/C=C1)\N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09220>,[H]/[NH+]=C(\N)C1=CC(=O)/C(=C\C=c2ccc(=C(N)[NH3+])cc2)C=C1
4,[H]/[NH+]=C(\N)/c1ccc(cc1)OCCCCCOc2ccc(cc2)/C(=[NH+]/[H])/N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09460>,[H]/[NH+]=C(\N)c1ccc(OCCCCCOc2ccc(/C(N)=[NH+]/[H])cc2)cc1
5,[N+](=O)([O-])[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a096a0>,O=[N+]([O-])[O-]
6,[N]=O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a094c0>,[N]=O
8,[O-][99Tc](=O)(=O)=O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09340>,O=[99Tc](=O)(=O)[O-]
9,[O-]P(=O)([O-])F,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09280>,O=P([O-])([O-])F
10,[O-]S(=O)(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a092e0>,O=S(=O)([O-])[O-]
11,[O-]S(=O)(=S)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09760>,O=S([O-])([O-])=S
13,B([C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)c2cnccn2)(O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09820>,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
14,B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O,0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09880>,CC(C)C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
15,B([C@H](CC(C)C)NC(=O)CNC(=O)C1=C(C=CC(=C1)Cl)Cl)(O)O,0,1,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a098e0>,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O
16,C#CC1(CCCCC1)OC(=O)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09940>,C#CC1(OC(N)=O)CCCCC1
17,C#CC[NH2+][C@@H]1CCc2c1cccc2,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a099a0>,C#CC[NH2+][C@@H]1CCc2ccccc21
18,C#CCC(Cc1cnc2c(n1)c(nc(n2)N)N)c3ccc(cc3)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-],1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09a00>,C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc1
19,C#N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09a60>,C#N
20,C(#N)[Fe-2](C#N)(C#N)(C#N)(C#N)N=O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09ac0>,N#C[Fe-2](C#N)(C#N)(C#N)(C#N)N=O
21,C([C@@H]([C@@H]1C(=C(C(=O)O1)O)[O-])O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09b20>,O=C1O[C@H]([C@@H](O)CO)C([O-])=C1O
22,C([C@@H](C(=O)[O-])[NH3+])S,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09b80>,[NH3+][C@@H](CS)C(=O)[O-]
23,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@@]([C@H]2O)(CO)O)CO)O)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09be0>,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
24,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)COS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O)OS(=O)(=O)O[Al](O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09c40>,O=S(=O)(OC[C@H]1O[C@@H](O[C@]2(COS(=O)(=O)O[Al](O)O)O[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]2OS(=O)(=O)O[Al](O)O)[C@H](OS(=O)(=O)O[Al](O)O)[C@@H](OS(=O)(=O)O[Al](O)O)[C@@H]1OS(=O)(=O)O[Al](O)O)O[Al](O)O
25,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O)F)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09ca0>,OC[C@H]1O[C@H](O)[C@H](F)[C@@H](O)[C@@H]1O
26,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09d00>,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
27,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09d60>,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
28,C([C@H]([C@@H]([C@H](C=O)O)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09dc0>,O=C[C@H](O)[C@@H](O)[C@H](O)CO
29,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09e20>,OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
30,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09e80>,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
31,C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09ee0>,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
32,C(=[NH2+])(N)N,1,0,<rdkit.Chem.rdchem.Mol object at 0x2b11e8a09f40>,NC(N)=[NH2+]
