mean_hit,std_hit,ci_hit,method,feature
0.6379084967320262,0.20475779607007863,0.0732716363053148,1-nn,mfp
0.0,0.0,0.0,1-nn,mordred
0.0,0.0,0.0,1-nn,graphnet
0.7915032679738565,0.030995831899031063,0.011091715995561835,bnn,mfp
0.7856209150326798,0.04801141875086786,0.0171806655508822,bnn,mordred
0.0,0.0,0.0,bnn,graphnet
0.0,0.0,0.0,gnngp,mfp
0.0,0.0,0.0,gnngp,mordred
0.4823529411764706,0.07364478965230471,0.02635344952305635,gnngp,graphnet
0.9457516339869281,0.030663278707816738,0.010972713364421538,gp,mfp
0.9535947712418301,0.028854562162933483,0.010325472461268166,gp,mordred
0.0,0.0,0.0,gp,graphnet
0.9065359477124184,0.03495968397468322,0.012510162243908099,ngboost,mfp
0.9529411764705882,0.029346332445285814,0.010501450196748138,ngboost,mordred
0.0,0.0,0.0,ngboost,graphnet
0.5196078431372548,0.05586228283095842,0.019990061181229656,random,mfp
0.0,0.0,0.0,random,mordred
0.0,0.0,0.0,random,graphnet
0.7496732026143793,0.0667211106664851,0.023875842817570526,sngp,mfp
0.689542483660131,0.09934855518829465,0.03555142389168824,sngp,mordred
0.0,0.0,0.0,sngp,graphnet
