id,smiles,melting_point
Abecarnil,COCc3c(ncc4[nH]c2ccc(OCc1ccccc1)cc2c34)C(=O)OC(C)C,150
Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,119
Acecarbromal,CCC(Br)(CC)C(=O)NC(=O)NC(C)=O,109
Aceclofenac,OC(=O)COC(=O)Cc1ccccc1Nc2c(Cl)cccc2Cl,149
Acedapsone,CC(=O)Nc1ccc(cc1)S(=O)(=O)c2ccc(NC(C)=O)cc2,289
Acediasulfone,Nc1ccc(cc1)S(=O)(=O)c2ccc(NCC(O)=O)cc2,194
Aceglutamide,CC(=O)NC(CCC(N)=O)C(O)=O,197
Acemetacin,COc3ccc2n(C(=O)c1ccc(Cl)cc1)c(C)c(CC(=O)OCC(O)=O)c2c3,150
Acetaminophen,CC(=O)Nc1ccc(O)cc1,169
Acetaminosalol,CC(=O)Nc2ccc(OC(=O)c1ccccc1O)cc2,187
Acetorphan,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc2ccccc2,89
Acetylpheneturide,CCC(C(=O)NC(=O)NC(C)=O)c1ccccc1,100
AcetylsalicylicAcid,CC(=O)Oc1ccccc1C(O)=O,142.4
Acyclovir,Nc2nc1n(COCCO)cnc1c(=O)[nH]2,255
Acifran,CC1(OC(=CC1=O)C(O)=O)c2ccccc2,176
Acitretin,COc1cc(C)c(C=CC(C)=CC=CC(C)=CC(O)=O)c(C)c1C,228
Adrafinil,ONC(=O)CS(=O)C(c1ccccc1)c2ccccc2,159
Ahistan,CN(C)CC(=O)N2c1ccccc1Sc3ccccc23,144
Albendazole,CCCSc2ccc1[nH]c(NC(=O)OC)nc1c2,208
Albutoin,CC(C)CC1NC(=S)N(CC=C)C1=O,210
Alclofenac,OC(=O)Cc1ccc(OCC=C)c(Cl)c1,92
Alibendol,COc1cc(CC=C)cc(C(=O)NCCO)c1O,95
Alizapiride,COc2cc1[nH]nnc1cc2C(=O)NCC3CCCN3CC=C,139
Alpidem,CCCN(CCC)C(=O)Cc1c(nc2ccc(Cl)cn12)c3ccc(Cl)cc3,140
Amidephrine,CNCC(O)c1cccc(NS(C)(=O)=O)c1,159
Aminorex,NC1=NCC(O1)c2ccccc2,136
Amisometradine,CC(=C)Cn1c(N)cc(=O)n(C)c1=O,175
Amphotalide,Nc3ccc(OCCCCCN2C(=O)c1ccccc1C2=O)cc3,113
Anileridine,CCOC(=O)C2(CCN(CCc1ccc(N)cc1)CC2)c3ccccc3,83
Antazoline,C3CN=C(CN(Cc1ccccc1)c2ccccc2)N3,120
Arprinocid,Nc2ncnc3n(Cc1c(F)cccc1Cl)cnc23,245
Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,146
Atropine,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,114
Azacyclonol,OC(C1CCNCC1)(c2ccccc2)c3ccccc3,160
Bamipine,CN1CCC(CC1)N(Cc2ccccc2)c3ccccc3,114
Benactyzin,CCN(CC)CCOC(=O)C(O)(c1ccccc1)c2ccccc2,51
Benperidol,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)n3c(=O)[nH]c4ccccc34,170
Benzarone,CCc2oc1ccccc1c2C(=O)c3ccc(O)cc3,124.3
Benzoic acid,OC(=O)c1ccccc1,122.4
Benzydamine,CN(C)CCCOc2nn(Cc1ccccc1)c3ccccc23,160
Bezafibrate,CC(C)(Oc2ccc(CCNC(=O)c1ccc(Cl)cc1)cc2)C(O)=O,186
Bufexamac,CCCCOc1ccc(CC(=O)NO)cc1,153
Bupivacaine,CCCCN1CCCCC1C(=O)Nc2c(C)cccc2C,107
Buprenorphine,COC12CCC3(CC1C(C)(O)C(C)(C)C)C4Cc6ccc(O)c7OC2C3(CCN4CC5CC5)c67,209
Buramate,OCCOC(=O)NCc1ccccc1,40
Butalbital,CC(C)CC1(CC=C)C(=O)NC(=O)NC1=O,138
CapobenicAcid,COc1cc(cc(OC)c1OC)C(=O)NCCCCCC(O)=O,121
Carbamazepine,NC(=O)N2c1ccccc1C=Cc3ccccc23,190
Carbaryl,CNC(=O)Oc1cccc2ccccc12,142
Carbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,144
Carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,92
Caroxazone,NC(=O)CN2Cc1ccccc1OC2=O,203
