CMPD_CHEMBLID,exp,smiles,mol,isosmiles
CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,<rdkit.Chem.rdchem.Mol object at 0x2b45e3911880>,Cn1c(CN2CCN(c3ccc(Cl)cc3)CC2)nc2ccccc21
CHEMBL1951080,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,<rdkit.Chem.rdchem.Mol object at 0x2b45e39115e0>,COc1cc(OC)c(S(=O)(=O)N2c3ccccc3CCC2C)cc1NC(=O)CSCC(=O)O
CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,<rdkit.Chem.rdchem.Mol object at 0x2b45e39114c0>,COC(=O)[C@H](c1ccccc1Cl)N1CCc2sccc2C1
CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,<rdkit.Chem.rdchem.Mol object at 0x2b45e3911580>,O=C(NC1Cc2ccccc2N(C[C@@H](O)CO)C1=O)c1cc2cc(Cl)sc2[nH]1
CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,<rdkit.Chem.rdchem.Mol object at 0x2b45e39113a0>,Cc1cccc(C[C@H](NC(=O)c2cc(C(C)(C)C)nn2C)C(=O)NCC#N)c1
CHEMBL317462,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,<rdkit.Chem.rdchem.Mol object at 0x2b45e3911a00>,OC1(C#Cc2ccc(-c3ccccc3)cc2)CN2CCC1CC2
CHEMBL1951182,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,<rdkit.Chem.rdchem.Mol object at 0x2b45e39117c0>,COc1cc(OC)c(S(=O)(=O)NCc2ccccc2N2CCCCC2)cc1NC(=O)CCC(=O)O
CHEMBL2030960,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,<rdkit.Chem.rdchem.Mol object at 0x2b45e39119a0>,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1
CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,<rdkit.Chem.rdchem.Mol object at 0x2b45e3911640>,COc1ccc(-c2coc3cc(OC)cc(OC)c3c2=O)cc1
CHEMBL1527751,2.25,Oc1ncnc2scc(c3ccsc3)c12,<rdkit.Chem.rdchem.Mol object at 0x2b45e3911340>,Oc1ncnc2scc(-c3ccsc3)c12
